method,lambda,random_seed,h_norm,size_std,max_min_ratio,silhouette,ari,time,cluster_sizes,dataset
ER-K-Means,1.0,12,0.47818858207878834,365.42973180748294,13.076923076923077,0.5501247089515733,0.5426953765791948,0.0066127777099609375,"[850, 85, 65]",syn_3c_imbalance_70
ER-K-Means,1.0,13,0.47939371932300096,365.339416007757,11.486486486486486,0.5467174271389267,0.5422987067100944,0.003643035888671875,"[850, 76, 74]",syn_3c_imbalance_70
ER-K-Means,1.0,14,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0022177696228027344,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,15,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002331256866455078,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,16,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003438234329223633,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,1.0,17,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0030519962310791016,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,18,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002881288528442383,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,19,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002681255340576172,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,20,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0037660598754882812,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,21,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002621173858642578,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,22,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0025849342346191406,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,23,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0035779476165771484,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,24,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0019953250885009766,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,1.0,25,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0040743350982666016,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,26,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002140045166015625,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,27,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.00339508056640625,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,1.0,28,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004377841949462891,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,1.0,29,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0031197071075439453,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,0,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0022993087768554688,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,1,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003482341766357422,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,2.0,2,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003772735595703125,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,2.0,3,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0020487308502197266,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,4,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003921985626220703,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,5,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004707813262939453,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,6,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.007791996002197266,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,7,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004605531692504883,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,2.0,8,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004235029220581055,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,9,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.005492687225341797,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,2.0,10,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003193378448486328,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,11,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0033588409423828125,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,12,0.47818858207878834,365.42973180748294,13.076923076923077,0.5501247089515733,0.5426953765791948,0.010716438293457031,"[850, 85, 65]",syn_3c_imbalance_70
ER-K-Means,2.0,13,0.47939371932300096,365.339416007757,11.486486486486486,0.5467174271389267,0.5422987067100944,0.004964590072631836,"[850, 76, 74]",syn_3c_imbalance_70
ER-K-Means,2.0,14,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0033860206604003906,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,15,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0034949779510498047,"[150, 700, 150]",syn_3c_imbalance_70
